id,name,name_cn,name_en,order_no,city_code
9445C561DB5B2B5BE040FE0A07DC3622,锡林浩特,锡林浩特,XILINHAOTE,9999,XIL
9445C561DACC2B5BE040FE0A07DC3622,思茅,思茅,SIMAO,9999,SYM
9445C561DB722B5BE040FE0A07DC3622,北海,北海,BEIHAI,9999,BHY
9445C561DB802B5BE040FE0A07DC3622,徐州,徐州,XUZHOU,9999,XUZ
9445C561DBA12B5BE040FE0A07DC3622,福州,福州,FUZHOU,9999,FOC
9445C561DBB82B5BE040FE0A07DC3622,常州,常州,CHANGZHOU,9999,CZX
9445C561DBBB2B5BE040FE0A07DC3622,苏州,苏州,SUZHOU,9999,SZV
9445C561DBBE2B5BE040FE0A07DC3622,南昌,南昌,NANCHANG,9999,KHN
9445C561DC922B5BE040FE0A07DC3622,那拉提,那拉提,NEILATI,9999,NLT
9445C561DC982B5BE040FE0A07DC3622,腾冲,腾冲,TENGCHONG,9999,TCZ
9445C561DB212B5BE040FE0A07DC3622,芜湖,芜湖,WUHU,9999,CAL
9445C561DB202B5BE040FE0A07DC3622,乌海,乌海,WUHAI,9999,WUA
9445C561DB1E2B5BE040FE0A07DC3622,潍坊,潍坊,WEIFANG,9999,WEF
9445C561D95A2B5BE040FE0A07DC3622,威海,威海,WEIHAI,9999,WEH
9445C561D97E2B5BE040FE0A07DC3622,太原,太原,TAIYUAN,9999,TYN
9445C561DA9F2B5BE040FE0A07DC3622,石家庄,石家庄,SHIJIAZHUANG,9999,SJW
9445C561DABA2B5BE040FE0A07DC3622,石狮,石狮,SHISHI,9999,SHI
9445C561DABC2B5BE040FE0A07DC3622,沙市,沙市,SHASHI,9999,SHS
9445C561DABE2B5BE040FE0A07DC3622,韶关,韶关,SHAOGUAN,9999,HSC
9445C561DAC42B5BE040FE0A07DC3622,昭通,昭通,ZHAOTONG,9999,ZAT
9445C561DACE2B5BE040FE0A07DC3622,沈阳,沈阳,SHENYANG,9999,SHE
9445C561DAE92B5BE040FE0A07DC3622,通化,通化,TONGHUA,9999,WHU
9445C561DAEA2B5BE040FE0A07DC3622,盐城,盐城,YANCHENG,9999,YNZ
9445C561DAEE2B5BE040FE0A07DC3622,塔城,塔城,TACHENG,9999,TCG
9445C561DAFE2B5BE040FE0A07DC3622,通辽,通辽,TONGLIAO,9999,TGO
9445C561DB012B5BE040FE0A07DC3622,天水,天水,TIANSHUI,9999,THQ
9445C561DB072B5BE040FE0A07DC3622,吐鲁番,吐鲁番,TULUFAN,9999,TLQ
9445C561DB0E2B5BE040FE0A07DC3622,乌鲁木齐,乌鲁木齐,WULUMUQI,9999,URC
9445C561DB0E2B6BE040FE0A07DC3622,博乐,博乐,BOLE,9999,BPL
b8936877281a458983f43f8748710788,蚌埠,蚌埠,BANGBU,9999,BFU
9445C561D78B2B5BE040FE0A07DC3622,广汉,广汉,GUANGHAN,9999,GHN
9445C561D65F2B5BE040FE0A07DC3622,绵阳,绵阳,MIANYANG,9999,MIG
9445C561D60E2B5BE040FE0A07DC3622,泸州,泸州,LUZHOU,9999,LZO
9445C561D6022B5BE040FE0A07DC3622,临沂,临沂,LINYI,9999,LYI
9445C561D5F02B5BE040FE0A07DC3622,喀什,喀什,KASHEN,9999,KHG
9445C561D5EF2B5BE040FE0A07DC3622,昆山,昆山,KUNSHAN,9999,9KS
9445C561D5EE2B5BE040FE0A07DC3622,克拉玛依,克拉玛依,KELAMAYI,9999,KRY
9445C561D5EC2B5BE040FE0A07DC3622,库车,库车,KUCHE,9999,KCA
9445C561D5EA2B5BE040FE0A07DC3622,库尔勒,库尔勒,KUERLE,9999,KRL
9445C561D5E42B5BE040FE0A07DC3622,康定,康定,KANGDING,9999,KGT
